data_venda,produto,categoria,regiao,vendedor,valor,quantidade,cliente
2024-01-15,Notebook Dell Inspiron,Eletrônicos,Sudeste,Lucas Silva,4500.00,1,Empresa ABC Ltda
2024-01-15,Mouse Logitech MX,Eletrônicos,Sudeste,Lucas Silva,450.00,2,Empresa ABC Ltda
2024-01-18,Notebook Dell Inspiron,Eletrônicos,Sul,Marina Costa,4500.00,1,Tech Solutions
2024-01-20,Cadeira Escritório,Móveis,Sudeste,Lucas Silva,890.00,3,Indústria XPTO
2024-01-22,Monitor LG 27,Eletrônicos,Nordeste,Rafael Santos,1800.00,2,Comércio Y
2024-01-25,Teclado Mecânico,Eletrônicos,Sudeste,Lucas Silva,650.00,5,Coworking Z
2024-01-28,Cadeira Escritório,Móveis,Norte,Ana Oliveira,890.00,2,Empresa ABC Ltda
2024-02-01,Notebook HP Pavilion,Eletrônicos,Sudeste,Marina Costa,3800.00,1,Tech Solutions
2024-02-03,Caneta Esferográfica,Papelaria,Centro-Oeste,Pedro Lima,2.50,50,Coworking Z
2024-02-05,Caderno Universitário,Papelaria,Sudeste,Lucas Silva,25.00,30,Indústria XPTO
2024-02-08,Monitor Samsung 24,Eletrônicos,Sul,Marina Costa,1200.00,4,Comércio Y
2024-02-10,Notebook Lenovo ThinkPad,Eletrônicos,Sudeste,Rafael Santos,5800.00,1,Tech Solutions
2024-02-12,Mesa Escritório,Móveis,Sudeste,Lucas Silva,1500.00,2,Empresa ABC Ltda
2024-02-15,Mouse Logitech MX,Eletrônicos,Nordeste,Ana Oliveira,450.00,3,Comércio Y
2024-02-18,Teclado Mecânico,Eletrônicos,Sul,Marina Costa,650.00,2,Coworking Z
2024-02-20,Notebook Dell Inspiron,Eletrônicos,Sudeste,Lucas Silva,4500.00,2,Tech Solutions
2024-02-22,Cadeira Escritório,Móveis,Centro-Oeste,Pedro Lima,890.00,5,Indústria XPTO
2024-02-25,Monitor LG 27,Eletrônicos,Sudeste,Rafael Santos,1800.00,1,Empresa ABC Ltda
2024-03-01,Notebook HP Pavilion,Eletrônicos,Norte,Ana Oliveira,3800.00,2,Comércio Y
2024-03-05,Caneta Esferográfica,Papelaria,Sudeste,Lucas Silva,2.50,100,Coworking Z
2024-03-08,Caderno Universitário,Papelaria,Sul,Marina Costa,25.00,40,Indústria XPTO
2024-03-10,Notebook Lenovo ThinkPad,Eletrônicos,Sudeste,Lucas Silva,5800.00,1,Tech Solutions
2024-03-12,Mesa Escritório,Móveis,Sudeste,Rafael Santos,1500.00,1,Empresa ABC Ltda
2024-03-15,Monitor Samsung 24,Eletrônicos,Nordeste,Ana Oliveira,1200.00,3,Comércio Y
2024-03-18,Mouse Logitech MX,Eletrônicos,Sudeste,Lucas Silva,450.00,4,Tech Solutions
2024-03-22,Cadeira Escritório,Móveis,Centro-Oeste,Pedro Lima,890.00,3,Coworking Z
2024-03-25,Teclado Mecânico,Eletrônicos,Sul,Marina Costa,650.00,6,Indústria XPTO
2024-03-28,Notebook Dell Inspiron,Eletrônicos,Sudeste,Lucas Silva,4500.00,1,Empresa ABC Ltda
2024-04-02,Monitor LG 27,Eletrônicos,Norte,Ana Oliveira,1800.00,2,Comércio Y
2024-04-05,Caneta Esferográfica,Papelaria,Sudeste,Rafael Santos,2.50,80,Tech Solutions
2024-04-08,Notebook HP Pavilion,Eletrônicos,Sudeste,Lucas Silva,3800.00,2,Coworking Z
2024-04-12,Caderno Universitário,Papelaria,Sul,Marina Costa,25.00,25,Indústria XPTO
2024-04-15,Notebook Lenovo ThinkPad,Eletrônicos,Sudeste,Rafael Santos,5800.00,1,Empresa ABC Ltda
2024-04-18,Mesa Escritório,Móveis,Sudeste,Lucas Silva,1500.00,2,Comércio Y
2024-04-22,Mouse Logitech MX,Eletrônicos,Nordeste,Ana Oliveira,450.00,5,Tech Solutions
2024-04-25,Cadeira Escritório,Móveis,Centro-Oeste,Pedro Lima,890.00,4,Coworking Z
2024-04-28,Monitor Samsung 24,Eletrônicos,Sul,Marina Costa,1200.00,2,Indústria XPTO
2024-05-02,Notebook Dell Inspiron,Eletrônicos,Sudeste,Lucas Silva,4500.00,1,Empresa ABC Ltda
2024-05-05,Teclado Mecânico,Eletrônicos,Sudeste,Rafael Santos,650.00,3,Comércio Y
2024-05-08,Caneta Esferográfica,Papelaria,Norte,Ana Oliveira,2.50,60,Tech Solutions
2024-05-12,Notebook HP Pavilion,Eletrônicos,Sudeste,Lucas Silva,3800.00,1,Coworking Z
2024-05-15,Monitor LG 27,Eletrônicos,Sul,Marina Costa,1800.00,3,Indústria XPTO
2024-05-18,Caderno Universitário,Papelaria,Sudeste,Rafael Santos,25.00,35,Empresa ABC Ltda
2024-05-22,Mesa Escritório,Móveis,Sudeste,Lucas Silva,1500.00,2,Comércio Y
2024-05-25,Notebook Lenovo ThinkPad,Eletrônicos,Nordeste,Ana Oliveira,5800.00,1,Tech Solutions
2024-05-28,Mouse Logitech MX,Eletrônicos,Centro-Oeste,Pedro Lima,450.00,4,Coworking Z
2024-06-02,Cadeira Escritório,Móveis,Sudeste,Lucas Silva,890.00,6,Indústria XPTO
2024-06-05,Monitor Samsung 24,Eletrônicos,Sul,Marina Costa,1200.00,2,Empresa ABC Ltda
2024-06-08,Notebook Dell Inspiron,Eletrônicos,Sudeste,Rafael Santos,4500.00,1,Comércio Y
2024-06-12,Teclado Mecânico,Eletrônicos,Norte,Ana Oliveira,650.00,2,Tech Solutions
2024-06-15,Caneta Esferográfica,Papelaria,Sudeste,Lucas Silva,2.50,90,Coworking Z
2024-06-18,Notebook HP Pavilion,Eletrônicos,Sul,Marina Costa,3800.00,1,Indústria XPTO
2024-06-22,Caderno Universitário,Papelaria,Sudeste,Rafael Santos,25.00,45,Empresa ABC Ltda
2024-06-25,Monitor LG 27,Eletrônicos,Sudeste,Lucas Silva,1800.00,2,Comércio Y
2024-06-28,Mesa Escritório,Móveis,Nordeste,Ana Oliveira,1500.00,1,Tech Solutions
2024-07-02,Notebook Lenovo ThinkPad,Eletrônicos,Sudeste,Lucas Silva,5800.00,1,Coworking Z
2024-07-05,Mouse Logitech MX,Eletrônicos,Centro-Oeste,Pedro Lima,450.00,5,Indústria XPTO
2024-07-08,Cadeira Escritório,Móveis,Sul,Marina Costa,890.00,3,Empresa ABC Ltda
2024-07-12,Notebook Dell Inspiron,Eletrônicos,Sudeste,Rafael Santos,4500.00,1,Comércio Y
2024-07-15,Monitor Samsung 24,Eletrônicos,Norte,Ana Oliveira,1200.00,4,Tech Solutions
2024-07-18,Teclado Mecânico,Eletrônicos,Sudeste,Lucas Silva,650.00,7,Coworking Z
2024-07-22,Caneta Esferográfica,Papelaria,Sudeste,Rafael Santos,2.50,120,Indústria XPTO
2024-07-25,Notebook HP Pavilion,Eletrônicos,Sul,Marina Costa,3800.00,2,Empresa ABC Ltda
2024-07-28,Caderno Universitário,Papelaria,Sudeste,Lucas Silva,25.00,30,Comércio Y
2024-08-02,Mesa Escritório,Móveis,Sudeste,Rafael Santos,1500.00,2,Tech Solutions
2024-08-05,Monitor LG 27,Eletrônicos,Nordeste,Ana Oliveira,1800.00,3,Coworking Z
2024-08-08,Notebook Lenovo ThinkPad,Eletrônicos,Centro-Oeste,Pedro Lima,5800.00,1,Indústria XPTO
2024-08-12,Mouse Logitech MX,Eletrônicos,Sudeste,Lucas Silva,450.00,6,Empresa ABC Ltda
2024-08-15,Cadeira Escritório,Móveis,Sul,Marina Costa,890.00,4,Comércio Y
2024-08-18,Notebook Dell Inspiron,Eletrônicos,Sudeste,Rafael Santos,4500.00,1,Tech Solutions
2024-08-22,Teclado Mecânico,Eletrônicos,Norte,Ana Oliveira,650.00,3,Coworking Z
2024-08-25,Caneta Esferográfica,Papelaria,Sudeste,Lucas Silva,2.50,75,Indústria XPTO
2024-08-28,Notebook HP Pavilion,Eletrônicos,Sul,Marina Costa,3800.00,2,Empresa ABC Ltda
2024-09-02,Monitor Samsung 24,Eletrônicos,Sudeste,Rafael Santos,1200.00,3,Comércio Y
2024-09-05,Caderno Universitário,Papelaria,Sudeste,Lucas Silva,25.00,40,Tech Solutions
2024-09-08,Mesa Escritório,Móveis,Nordeste,Ana Oliveira,1500.00,1,Coworking Z
2024-09-12,Notebook Lenovo ThinkPad,Eletrônicos,Centro-Oeste,Pedro Lima,5800.00,1,Indústria XPTO
2024-09-15,Mouse Logitech MX,Eletrônicos,Sudeste,Lucas Silva,450.00,4,Empresa ABC Ltda
2024-09-18,Cadeira Escritório,Móveis,Sul,Marina Costa,890.00,5,Comércio Y
2024-09-22,Notebook Dell Inspiron,Eletrônicos,Sudeste,Rafael Santos,4500.00,1,Tech Solutions
2024-09-25,Monitor LG 27,Eletrônicos,Norte,Ana Oliveira,1800.00,2,Coworking Z
2024-09-28,Teclado Mecânico,Eletrônicos,Sudeste,Lucas Silva,650.00,4,Indústria XPTO
2024-10-02,Notebook HP Pavilion,Eletrônicos,Sul,Marina Costa,3800.00,1,Empresa ABC Ltda
2024-10-05,Caneta Esferográfica,Papelaria,Sudeste,Rafael Santos,2.50,100,Comércio Y
2024-10-08,Caderno Universitário,Papelaria,Sudeste,Lucas Silva,25.00,50,Tech Solutions
2024-10-12,Mesa Escritório,Móveis,Nordeste,Ana Oliveira,1500.00,2,Coworking Z
2024-10-15,Monitor Samsung 24,Eletrônicos,Centro-Oeste,Pedro Lima,1200.00,3,Indústria XPTO
2024-10-18,Notebook Lenovo ThinkPad,Eletrônicos,Sudeste,Lucas Silva,5800.00,1,Empresa ABC Ltda
2024-10-22,Mouse Logitech MX,Eletrônicos,Sul,Marina Costa,450.00,5,Comércio Y
2024-10-25,Cadeira Escritório,Móveis,Sudeste,Rafael Santos,890.00,3,Tech Solutions
2024-10-28,Notebook Dell Inspiron,Eletrônicos,Norte,Ana Oliveira,4500.00,1,Coworking Z
2024-11-02,Monitor LG 27,Eletrônicos,Sudeste,Lucas Silva,1800.00,2,Indústria XPTO
2024-11-05,Teclado Mecânico,Eletrônicos,Sul,Marina Costa,650.00,4,Empresa ABC Ltda
2024-11-08,Caneta Esferográfica,Papelaria,Sudeste,Rafael Santos,2.50,85,Comércio Y
2024-11-12,Notebook HP Pavilion,Eletrônicos,Sudeste,Lucas Silva,3800.00,1,Tech Solutions
2024-11-15,Caderno Universitário,Papelaria,Nordeste,Ana Oliveira,25.00,35,Coworking Z
2024-11-18,Mesa Escritório,Móveis,Centro-Oeste,Pedro Lima,1500.00,2,Indústria XPTO
2024-11-22,Monitor Samsung 24,Eletrônicos,Sudeste,Lucas Silva,1200.00,3,Empresa ABC Ltda
2024-11-25,Notebook Lenovo ThinkPad,Eletrônicos,Sul,Marina Costa,5800.00,1,Comércio Y
2024-11-28,Mouse Logitech MX,Eletrônicos,Sudeste,Rafael Santos,450.00,6,Tech Solutions
2024-12-02,Cadeira Escritório,Móveis,Norte,Ana Oliveira,890.00,4,Coworking Z
2024-12-05,Notebook Dell Inspiron,Eletrônicos,Sudeste,Lucas Silva,4500.00,1,Indústria XPTO
2024-12-08,Monitor LG 27,Eletrônicos,Sul,Marina Costa,1800.00,2,Empresa ABC Ltda
2024-12-12,Teclado Mecânico,Eletrônicos,Sudeste,Rafael Santos,650.00,5,Comércio Y
2024-12-15,Caneta Esferográfica,Papelaria,Nordeste,Ana Oliveira,2.50,70,Tech Solutions
2024-12-18,Notebook HP Pavilion,Eletrônicos,Centro-Oeste,Pedro Lima,3800.00,1,Coworking Z
2024-12-22,Caderno Universitário,Papelaria,Sudeste,Lucas Silva,25.00,55,Indústria XPTO
2024-12-25,Mesa Escritório,Móveis,Sudeste,Rafael Santos,1500.00,2,Empresa ABC Ltda
2024-12-28,Monitor Samsung 24,Eletrônicos,Sul,Marina Costa,1200.00,4,Comércio Y
